,picture_link,scraped_text,cleaned_text,username,post_date,location,tags,hastags,emojis
0,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/209328058_319177256539417_7505784730174857268_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=a-RVtbAkRdEAX_X0r-K&edm=ABZsPhsBAAAA&ccb=7-4&oh=68fbb87de10fd0dd8f0fb793e4b1722b&oe=60EDFB27&_nc_sid=4efc9f&ig_cache_key=MjYxMzIyNjAwNjI0NjE2MjI1NA%3D%3D.2-ccb7-4,,,,,,,,
1,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/209328058_319177256539417_7505784730174857268_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=a-RVtbAkRdEAX_X0r-K&edm=ABZsPhsBAAAA&ccb=7-4&oh=68fbb87de10fd0dd8f0fb793e4b1722b&oe=60EDFB27&_nc_sid=4efc9f&ig_cache_key=MjYxMzIyNjAwNjI0NjE2MjI1NA%3D%3D.2-ccb7-4,"Photo by Akiko on July 08, 2021. May be an image of strawberry and indoor.",Photo by Akiko on July 08 2021 May be an image of strawberry and indoor ,"Akiko on July 08, 2021. May be an image of strawberry and",,,,,
2,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/211811617_213152377352959_6330513304317067648_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=uVCgXkToKCAAX-IoVVs&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=28f40d232cb1a9b057728d80f229c7a5&oe=60ED7B0D&_nc_sid=4efc9f&ig_cache_key=MjYxMzM1MjY1NjYwMzU0MDI2NA%3D%3D.2-ccb7-4,"Photo shared by Brian K on July 08, 2021 tagging @3piecesuitguy, and @suittielinksbracesman. May be an image of 1 person.",Photo shared by Brian K on July 08 2021 tagging and May be an image of 1 person ,Brian K,2021-07-08,,"@3piecesuitguy,, @suittielinksbracesman.",,
3,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/212100835_338203391316739_835399560029619703_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=gRLYn1cySMkAX8lshOU&edm=ABZsPhsBAAAA&ccb=7-4&oh=d34a6c9620a681d2c2775d0a2bcffebf&oe=60ED7278&_nc_sid=4efc9f&ig_cache_key=MjYxMzI1NDAxMjY3NzkxMDMxMw%3D%3D.2-ccb7-4,"Photo by @gold.keyss in Istanbul, Turkey. May be an image of 1 person, long hair, standing and sunglasses.",Photo by in Istanbul Turkey May be an image of 1 person long hair standing and sunglasses ,@gold.keyss,2021-05-08,Turkey,@gold.keyss,,
4,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/212666586_1790337804508653_7892050367758410828_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=i7Jd8RR94f8AX8kKOjj&edm=ABZsPhsBAAAA&ccb=7-4&oh=e580cb0676c499c456886e73b84a0c34&oe=60EEB69E&_nc_sid=4efc9f&ig_cache_key=MjYxMzI4NzQ2NjcwMTE0MDU5NQ%3D%3D.2-ccb7-4,,,,,,,,
5,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/212462840_824819388408394_7652393186568390325_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=27e6b3QOkYkAX-eO3E4&edm=ABZsPhsBAAAA&ccb=7-4&oh=bf32d22344418d835fa507a4fb69515a&oe=60ED7640&_nc_sid=4efc9f&ig_cache_key=MjYxMzM0OTIxMDIyNTM0Mzk4NA%3D%3D.2-ccb7-4,"Photo shared by l.a.Eyeworks on July 08, 2021 tagging @lyf_magazine_official. May be a black-and-white image of one or more people.",Photo shared by l a Eyeworks on July 08 2021 tagging magazine official May be a black and white image of one or more people ,l.a.Eyeworks,2021-07-08,,@lyf,,
6,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/211380274_492516958486308_4703689149878497625_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=C7LzVTeK1EIAX_LgoP3&edm=ABZsPhsBAAAA&ccb=7-4&oh=a3731d45849691aaa86c6de6cc29d20f&oe=60EEF350&_nc_sid=4efc9f&ig_cache_key=MjYxMzMxOTYxMjkxOTkwODA2MQ%3D%3D.2-ccb7-4,"Photo by Pooja Lodhia in Houston, Texas. May be an image of 1 person and text that says 'abc13 HAPPY BIRTHDAY JESSICA WILLEY'.",Photo by Pooja Lodhia in Houston Texas May be an image of 1 person and text that says abc13 HAPPY BIRTHDAY JESSICA WILLEY ,Pooja Lodhia,2021-05-08,Texas,,,
7,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/210674760_162127449314372_7425710111060220677_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Fkhuz9hmGiQAX_-KA74&edm=ABZsPhsBAAAA&ccb=7-4&oh=6815f0167b952191161ba71fa63602d9&oe=60EE216C&_nc_sid=4efc9f&ig_cache_key=MjYxMzMzMjc1OTQxOTkzOTM1OA%3D%3D.2-ccb7-4,"Photo by farshid cake.sna in یزد/yazd with @cake_ahvan_shakeri_, @only.cake.2021, @mina.kiaaaa, @mitra.khaksar.academy, @farzin.sna_cake, @faryad.____, @bahare_marjani.cake, @cake_h.reza.nazari, and @mamalija3. May be an image of text.",Photo by farshid cake sna in yazd with ahvan shakeri cake marjani cake h reza nazari and May be an image of text ,farshid cake.sna,2021-05-03,@mina.kiaaaa,"@cake, @only.cake.2021,, @mina.kiaaaa,, @mitra.khaksar.academy,, @farzin.sna, @faryad., @bahare, @cake, @mamalija3.",,
8,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/212098066_330590715314933_6798811785448908968_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Ebpkc_IJbY0AX8uDIV0&edm=ABZsPhsBAAAA&ccb=7-4&oh=c7bbcd54b126f056065564bd6d2814b9&oe=60ED4CFA&_nc_sid=4efc9f&ig_cache_key=MjYxMzMwMDkzMDkyNzY5Mjg4Mg%3D%3D.2-ccb7-4,"Photo by Kresta Horn on July 08, 2021. May be an image of 2 people, child, people standing and outdoors.",Photo by Kresta Horn on July 08 2021 May be an image of 2 people child people standing and outdoors ,Kresta Horn,2021-07-02,,,,
9,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/211822386_336915074723439_1710281836258432239_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hpr5cI80_RYAX9y6CST&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=a5f84813b8ac202d6b101023b747cb1f&oe=60EE0818&_nc_sid=4efc9f&ig_cache_key=MjYxMzI1OTYxODk1MTk0MzM0Ng%3D%3D.2-ccb7-4,"Photo by Ankara Mella Butik Pasta :) in Ankara, Turkey. May be a cartoon of cake.",Photo by Ankara Mella Butik Pasta in Ankara Turkey May be a cartoon of cake ,Ankara Mella Butik Pasta :),2021-05-08,Turkey,,,
